dra_id,dra_title,dra_year,dra_time,drama_url
46,Arthdal Chronicles Part 2,2019,1 hr. 21 min.,"https://m.media-amazon.com/images/M/MV5BMGJiZDc1OWMtNzMwMC00NzM0LTljMDgtZGJjODVhZDMzMmJjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SY150_CR0,0,101,150_.jpg"
47,Misaeng,2014,1 hr. 20 min.,"https://m.media-amazon.com/images/M/MV5BZmNiYjU3MDYtZDhlNy00ZWZjLTg0ZWUtYzA1OGQ3NTJkMDRlXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR1,0,101,150_.jpg"
48,Arthdal Chronicles Part 3,2019,1 hr. 20 min.,"https://m.media-amazon.com/images/M/MV5BZjM4NWM0NWQtOGM5NS00ZDZhLTgxMjMtM2UzNDBhYWQ0ODU1XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SY150_CR2,0,101,150_.jpg"
49,My Name,2021,50 min.,"https://m.media-amazon.com/images/M/MV5BZmMyNmMxZWYtODIyNy00NjE5LThjYjYtYmIwN2NmZGZiZjM5XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SY150_CR0,0,101,150_.jpg"
50,Hotel del Luna,2019,1 hr. 20 min.,"https://m.media-amazon.com/images/M/MV5BNWU3M2YxZmEtZTZiMi00NTBhLWEyYWMtOTBhOTEyMzkyYmI4XkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_SX101_CR0,0,101,150_.jpg"
51,Dr. Romantic,2016,60 min.,"https://m.media-amazon.com/images/M/MV5BYmMyMTRjNzktODQwYS00YzUxLThiMWEtY2UwNWE5Y2E3NDcxXkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_SX101_CR0,0,101,150_.jpg"
52,The Fiery Priest,2019,35 min.,"https://m.media-amazon.com/images/M/MV5BNmJjMWNkOTctMTE4ZS00MTJlLWEyZjAtOThjMDM0Njk2MTMwXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX101_CR0,0,101,150_.jpg"
53,Moon Lovers,2016,60 min.,"https://m.media-amazon.com/images/M/MV5BNmVmZWRmMjctZDk3OS00MzNlLTllNjAtZmI3YmJhNDRmZTc4XkEyXkFqcGdeQXVyNjgzNjE2MzY@._V1_SX101_CR0,0,101,150_.jpg"
54,Descendants of the Sun,2016,60 min.,"https://m.media-amazon.com/images/M/MV5BM2ExNGE4ZjItMmY5My00ZDU5LWJiMzMtOTFjMDRmNWVlMzZiXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR2,0,101,150_.jpg"
55,Hot Stove League,2019,1 hr. 2 min.,"https://m.media-amazon.com/images/M/MV5BM2U3OTk1YTMtNWYyOS00ZWYxLTgyZGMtOTNmNGYyMzUwMThkXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR2,0,101,150_.jpg"
56,Strong Woman Do Bong Soon,2017,1 hr. 7 min.,"https://m.media-amazon.com/images/M/MV5BZWUyYmMyMjktMmFjNC00ZGFiLThjODYtNjQ1MzQyODhmZmVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SY150_CR3,0,101,150_.jpg"
57,Law School,2021,1 hr. 5 min.,"https://m.media-amazon.com/images/M/MV5BYTJhMjAxZTEtODg3Yy00MWQ4LWEzOGQtZDg4Y2IzODcwZjEwXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SX101_CR0,0,101,150_.jpg"
58,Live,2018,1 hr. 15 min.,"https://m.media-amazon.com/images/M/MV5BY2YxODFmOGUtMjY1OC00YTk5LTlkNWEtMzU5MWYxNTgwNzkxXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_SY150_CR0,0,101,150_.jpg"
59,Tunnel,2017,60 min.,"https://m.media-amazon.com/images/M/MV5BNDQwNjk0NTA2NV5BMl5BanBnXkFtZTgwODc4Mjc2ODE@._V1_SX101_CR0,0,101,150_.jpg"
60,Strangers from Hell,2019,60 min.,"https://m.media-amazon.com/images/M/MV5BNTlkZTc2YzktZGEwYS00YzJmLWI3M2YtMmI1M2Y2MDNlNmI1XkEyXkFqcGdeQXVyOTE4NzcwNzI@._V1_SY150_CR2,0,101,150_.jpg"
61,"It's Okay, That's Love",2014,60 min.,"https://m.media-amazon.com/images/M/MV5BZDJiNjUyOGUtZTc0Zi00ZDFhLTg4NzUtOTM2NGFhZGI4ZTQ4XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR2,0,101,150_.jpg"
62,Eulachacha Waikiki,2018,1 hr. 5 min.,"https://m.media-amazon.com/images/M/MV5BMTkwZmM2N2MtZTBjYy00ODM1LTgxNTAtOTc1OWI0MzRkMTJjXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR2,0,101,150_.jpg"
63,The Bridal Mask,2012,1 hr. 5 min.,"https://m.media-amazon.com/images/M/MV5BODQ1YTdmOGUtNmJiMS00ODE0LThhNjgtN2Y4M2NkNjNiZDU1XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR1,0,101,150_.jpg"
64,Partners for Justice 2,2019,35 min.,"https://m.media-amazon.com/images/M/MV5BYzEzZGQyNGUtMDhlMS00MmQ1LTlkMGItMzc3MzNjODQxMTUyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX101_CR0,0,101,150_.jpg"
65,Jewel in the Palace,2003,1 hr. 5 min.,"https://m.media-amazon.com/images/M/MV5BOWEzNjE5MzQtZjcyYy00ODQ3LThlYmEtMjQyMWI5MjM1ZmExXkEyXkFqcGdeQXVyNTcyNTg3Nzc@._V1_SY150_CR10,0,101,150_.jpg"
66,My Father is Strange,2017,1 hr. 6 min.,"https://m.media-amazon.com/images/M/MV5BMjNhYzRlZjEtYmQxNC00M2I4LTkxNDctZTJlYjg0OTJmOTczXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR2,0,101,150_.jpg"
67,Children of Nobody,2018,30 min.,"https://m.media-amazon.com/images/M/MV5BN2I0NmMzYzItMWU1MC00NDIwLTllOTUtMDA0NWY2ZWE0MzRiXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX101_CR0,0,101,150_.jpg"
68,Go Back Couple,2017,1 hr. 10 min.,"https://m.media-amazon.com/images/M/MV5BYmQxNDQxY2QtYWM3MC00NGRkLTg0NDctMTdhNWJkNTRiODE4XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SY150_CR0,0,101,150_.jpg"
69,Good Manager,2017,60 min.,"https://m.media-amazon.com/images/M/MV5BMjU4Yzc3ZTctOGU5Yi00YjY0LWI0ZjktZDg4ZGIyZDNhOTA5L2ltYWdlXkEyXkFqcGdeQXVyNzk0NTA5NQ@@._V1_SX101_CR0,0,101,150_.jpg"
70,Stranger 2,2020,1 hr. 2 min.,"https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SY150_CR9,0,101,150_.jpg"
71,My Love from the Star,2013,58 min.,"https://m.media-amazon.com/images/M/MV5BYTA2MTZhMmQtN2VmOC00NTc4LWE2ZWQtNzc5ZDk5YWE4NDdlXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX101_CR0,0,101,150_.jpg"
72,Empress Ki,2013,1 hr. 5 min.,"https://m.media-amazon.com/images/M/MV5BNThlM2ZjYzItYzhmYS00MjI5LTg5YTAtYzZlN2FjNmIwYzc3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SY150_CR3,0,101,150_.jpg"
