,Ac_Name,Date_Birth,BPlace,Img,Active_Year,info,WikiLink
30,Kim Sang Kyung,1987,"Dobong-gu, Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Text_document_with_red_question_mark.svg/40px-Text_document_with_red_question_mark.svg.png,Kim Eun-gyung (m. 2007)[1],"[' (1972-06-01) June 1, 1972 (age\xa050)Seoul, South Korea', 'Chung-Ang University  (B.A. Theater and Film)  (Graduate School of Advanced Imaging Science, Multimedia and Film)', 'Actor', '1998–present', 'Kim Eun-gyung (m. 2007)[1]', '김상경', '金相慶', 'Gim Sang-gyeong', 'Kim Sanggyŏng']",https://en.wikipedia.org/wiki/Kim_Sang-kyung
31,Lee Do Hyun,1994,"Suwon, Gyeonggi, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/%EB%A7%88%EB%A6%AC%EB%81%8C%EB%A0%88%EB%A5%B4_%ED%8C%9D%ED%80%B4%EC%A6%88%EB%A5%BC_%ED%95%98%EB%8A%94_%EC%9D%B4%EB%8F%84%ED%98%84.jpg/220px-%EB%A7%88%EB%A6%AC%EB%81%8C%EB%A0%88%EB%A5%B4_%ED%8C%9D%ED%80%B4%EC%A6%88%EB%A5%BC_%ED%95%98%EB%8A%94_%EC%9D%B4%EB%8F%84%ED%98%84.jpg,Yuehua Entertainment,"['Lim Dong-hyunApril 11, 1995\xa0(1995-04-11) (age\xa027)Seoul, South Korea[1]', 'Chung-Ang University – Theater and Film', 'Actor', '2017–present', 'Yuehua Entertainment', '이도현', '李到晛', 'I Do-hyeon', 'Yi To-hyŏn', '임동현', 'Im Dong-hyeon', 'Im Tong-hyŏn']",https://en.wikipedia.org/wiki/Lee_Do-hyun
32,Lee Seung Gi,1978,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/3/31/LeeSeungGi4.jpg/250px-LeeSeungGi4.jpg,K-popballad,"[' (1987-01-13) January 13, 1987 (age\xa035)Dobong-gu, Seoul, South Korea', '\nSinger\nactor\nhost\nentertainer\nmodel\nCEO\nproducer\n', '2004–present', 'Full list', 'K-popballad', 'Vocals', 'Hook EntertainmentHuman Made', 'leeseunggi.com', '이승기', '李昇基', 'I Seung-gi', 'Ri Sŭnggi']",https://en.wikipedia.org/wiki/Lee_Seung-gi
33,Song Kang,1994,"Buk District, Gwangju, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/210823_%EC%86%A1%EA%B0%95.png/220px-210823_%EC%86%A1%EA%B0%95.png,Namoo Actors,"[' (1994-04-23) April 23, 1994 (age\xa028)Suwon, Gyeonggi, South Korea', 'Konkuk University – Department of Film Arts[1]', 'Actor', '2017–present', 'Namoo Actors', '송강', '宋江', 'Song Gang', 'Song Kang']",https://en.wikipedia.org/wiki/Song_Kang
34,Kim Ha Neul,1971,"Hwasun, South Jeolla, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/170107_%EC%97%AC%EA%B5%90%EC%82%AC_%EB%AC%B4%EB%8C%80%EC%9D%B8%EC%82%AC_%EA%B9%80%ED%95%98%EB%8A%98_%EC%9C%A0%EC%9D%B8%EC%98%81_%EC%9D%B4%EC%9B%90%EA%B7%BC_%283%29.jpg/220px-170107_%EC%97%AC%EA%B5%90%EC%82%AC_%EB%AC%B4%EB%8C%80%EC%9D%B8%EC%82%AC_%EA%B9%80%ED%95%98%EB%8A%98_%EC%9C%A0%EC%9D%B8%EC%98%81_%EC%9D%B4%EC%9B%90%EA%B7%BC_%283%29.jpg,IOK Company,"[' (1978-02-21) February 21, 1978 (age\xa044)Seoul, South Korea', 'Seoul Institute of the Arts - Film', 'Actress', '1996–present', 'IOK Company', 'Choi Jin-hyuk \u200b(m.\xa02016)\u200b', '1', '김하늘', 'Gim Ha-neul', 'Kim Hanŭl']",https://en.wikipedia.org/wiki/Kim_Ha-neul
35,Bae Suzy,1964,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/9/97/180503_%EC%88%98%EC%A7%80_01.jpg/250px-180503_%EC%88%98%EC%A7%80_01.jpg,Full list,"['Bae Su-ji (1994-10-10) October 10, 1994 (age\xa028)Buk District, Gwangju, South Korea', 'School of Performing Arts Seoul', 'Singeractressmodel', 'Management SOOP', 'Full list', 'K-popdance-pop', 'Vocals', '2010–present', 'JYP', 'Miss AJYP Nation', '배수지', '裴秀智', 'Bae Su-ji', 'Pae Suchi']",https://en.wikipedia.org/wiki/Bae_Suzy
36,Go Hyun Jung,1988,"Busan, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/9/97/Ko_Hyun-Jung3.jpg/220px-Ko_Hyun-Jung3.jpg,"1989–1995, 2004–present","[' (1971-03-02) March 2, 1971 (age\xa051)Hwasun, South Jeolla, South Korea', 'Ko Hyun-jung', 'Dongguk University – Performing Arts', 'Actress', '1989–1995, 2004–present', 'IOK Company', 'Chung Yong-jin\n\u200b \u200b(m.\xa01995; div.\xa02003)\u200b', '2', '고현정', '高賢廷', 'Go Hyeon-jeong', 'Ko Hyŏn-jŏng']",https://en.wikipedia.org/wiki/Go_Hyun-jung
37,Han Seok Kyu,1994,"Ulsan, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/190702_%ED%95%9C%EC%84%9D%EA%B7%9C.jpg/220px-190702_%ED%95%9C%EC%84%9D%EA%B7%9C.jpg,Im Myung-Ju ​(m. 1998)​,"[' (1964-11-03) November 3, 1964 (age\xa058)Seoul, South Korea', 'Dongguk University - Theater and Film', 'Actor', '1990–present', 'Im Myung-Ju \u200b(m.\xa01998)\u200b', '한석규', '韓石圭', 'Han Seok-gyu', 'Han Sŏkkyu']",https://en.wikipedia.org/wiki/Han_Seok-kyu
38,Im Si Wan,1980,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/2/24/%EC%9E%84%EC%8B%9C%EC%99%84%2C_%22%EC%8B%B1%EA%B7%B8%EB%9F%AC%EC%9A%B4_%EB%AF%B8%EC%86%8C%22.jpg/220px-%EC%9E%84%EC%8B%9C%EC%99%84%2C_%22%EC%8B%B1%EA%B7%B8%EB%9F%AC%EC%9A%B4_%EB%AF%B8%EC%86%8C%22.jpg,K-pop,"['Yim Woong-jae (1988-12-01) December 1, 1988 (age\xa033)Busan, South Korea', 'Siwan', 'Singeractor', 'PLUM A&C', 'K-pop', 'Vocalsguitarviolin', '2010–present', 'Star Empire', 'ZE:A', '임시완', '任時完[1]', 'Yim Si-wan', 'Yim Siwan', '임웅재', 'Yim Ung-jae', 'Yim Ungjae', '시완', '時完', 'Si-wan', 'Siwan']",https://en.wikipedia.org/wiki/Im_Si-wan
39,Han So Hee,1978,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/200710_%ED%95%9C%EC%86%8C%ED%9D%AC.png/250px-200710_%ED%95%9C%EC%86%8C%ED%9D%AC.png,U-ATTO Entertainment,"['Lee So-hee (1994-11-18) November 18, 1994 (age\xa028)Ulsan, South Korea', 'Ulsan High School of Arts', 'Modelactress', '2016–present', 'U-ATTO Entertainment', '한소희', '韓韶禧', 'Han So-hui', 'Han Sohŭi', '이소희', '李韶禧', 'I So-hui', 'I Sohŭi']",https://en.wikipedia.org/wiki/Han_So-hee
40,Kim Nam Gil,1990,"Jeungpyeong County, North Chungcheong Province, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Kim_Nam-gil_at_Asian_Star_Awards_2018.jpg/220px-Kim_Nam-gil_at_Asian_Star_Awards_2018.jpg,김남길,"[' (1980-03-13) March 13, 1980 (age\xa042)Seoul, South Korea', 'Actor, film producer, director, singer', '1999–present', 'Gilstory ENT', '김남길', '金南佶', 'Gim Nam-gil', 'Kim Namkil', 'gilstoryent.com']",https://en.wikipedia.org/wiki/Kim_Nam-gil
41,Namkoong Min,1972,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/3/31/2017_%EB%B6%80%EC%B2%9C%EA%B5%AD%EC%A0%9C%ED%8C%90%ED%83%80%EC%8A%A4%ED%8B%B1%EC%98%81%ED%99%94%EC%A0%9C%28BIFAN%29_%EB%A0%88%EB%93%9C%EC%B9%B4%ED%8E%AB_%2834%29.jpg/220px-2017_%EB%B6%80%EC%B2%9C%EA%B5%AD%EC%A0%9C%ED%8C%90%ED%83%80%EC%8A%A4%ED%8B%B1%EC%98%81%ED%99%94%EC%A0%9C%28BIFAN%29_%EB%A0%88%EB%93%9C%EC%B9%B4%ED%8E%AB_%2834%29.jpg,1999–present,"[' (1978-03-12) March 12, 1978 (age\xa044)Seoul, South Korea', 'South Korean', 'Chung-Ang University (Mechanical Engineering)[1]', 'Actordirectorscreenwriter', '1999–present', '935 Entertainment', '177[2]\xa0cm (5\xa0ft 10\xa0in)', 'Jin Ah-reum \u200b(m.\xa02022)\u200b', 'Full list', '남궁민', '南宮珉', 'Namgung Min', 'Namkung Min', 'Official website']",https://en.wikipedia.org/wiki/Namkoong_Min
42,Park Bo Young,1985,"Namyangju, Gyeonggi, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/20210527_Park_Bo-young_%EB%B0%95%EB%B3%B4%EC%98%81_Greetings_for_Viu_%283%29.jpg/220px-20210527_Park_Bo-young_%EB%B0%95%EB%B3%B4%EC%98%81_Greetings_for_Viu_%283%29.jpg,BH Entertainment [ko],"[' (1990-02-12) February 12, 1990 (age\xa032)Jeungpyeong County, North Chungcheong Province, South Korea', 'Dankook University (Theatre and Film)', 'Actress', '2006–present', 'BH Entertainment\xa0[ko]', '박보영', '朴寶英', 'Bak Bo-yeong', 'Pak Poyŏng', 'cafe.daum.net/parkboyoungfd']",https://en.wikipedia.org/wiki/Park_Bo-young
43,Kim Myung Min,1986,"Mokpo, South Jeolla Province, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/0/08/%28%ED%8A%B9%EB%B3%84%EC%88%98%EC%82%AC_%EC%82%AC%ED%98%95%EC%88%98%EC%9D%98_%ED%8E%B8%EC%A7%80%29_%EA%B0%99%EC%9D%B4%EA%B0%80%EC%B9%98_with_kakao_KimMyungMin.png/220px-%28%ED%8A%B9%EB%B3%84%EC%88%98%EC%82%AC_%EC%82%AC%ED%98%95%EC%88%98%EC%9D%98_%ED%8E%B8%EC%A7%80%29_%EA%B0%99%EC%9D%B4%EA%B0%80%EC%B9%98_with_kakao_KimMyungMin.png,김명민,"[' (1972-10-08) 8 October 1972 (age\xa050)Seoul, South Korea', 'Seoul Institute of the Arts - Theater', 'Actor', '1996–present', '김명민', '金明民', 'Gim Myeong-min', 'Kim Myŏng-min']",https://en.wikipedia.org/wiki/Kim_Myung-min
44,Lee Kwang Soo,1981,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/0/08/211126_Lee_Kwang-soo.jpg/220px-211126_Lee_Kwang-soo.jpg,King Kong by Starship[1],"[' (1985-07-14) July 14, 1985 (age\xa037)Namyangju, Gyeonggi, South Korea', 'Dong-ah Institute of Media and Arts (broadcasting)', 'ActorEntertainerModel', '2007–present', 'King Kong by Starship[1]', '192\xa0cm (6\xa0ft 3+1⁄2\xa0in)[2]', '이광수', '李光洙', 'I Gwang-su', 'I Kwangsu']",https://en.wikipedia.org/wiki/Lee_Kwang-soo
45,Choi Jin Hyuk,1987,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/2013.12.31_SBS_%EC%97%B0%EA%B8%B0%EB%8C%80%EC%83%81_%EB%A0%88%EB%93%9C%EC%B9%B4%ED%8E%AB_%EC%B5%9C%EC%A7%84%ED%98%81.jpg/220px-2013.12.31_SBS_%EC%97%B0%EA%B8%B0%EB%8C%80%EC%83%81_%EB%A0%88%EB%93%9C%EC%B9%B4%ED%8E%AB_%EC%B5%9C%EC%A7%84%ED%98%81.jpg,1.87 m (6 ft 2 in),"['Kim Tae-ho[1] (1986-02-09) February 9, 1986 (age\xa036)[2]Mokpo, South Jeolla Province, South Korea', 'Actor', '2006–present', 'G-Tree Creative', '1.87\xa0m (6\xa0ft 2\xa0in)', '최진혁', 'Choe Jin-hyeok', ""Ch'oe Chinhyŏk"", '김태호', '金太昊', 'Gim Tae-ho', ""Kim T'aeho""]",https://en.wikipedia.org/wiki/Choi_Jin-hyuk
46,Jo In Sung,1970,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Jo_In-sung_in_2012_-_%28LG_Whisen_Event_in_Yeouido%29.jpg/220px-Jo_In-sung_in_2012_-_%28LG_Whisen_Event_in_Yeouido%29.jpg,1998–present[3],"[' (1981-07-28) July 28, 1981 (age\xa041)Seoul, South Korea', 'Cho In-sung,[1] Jo In-sung[2]', 'Dongguk University', 'Actor', '1998–present[3]', 'IOK Company[4]', '조인성', 'Jo In-seong', 'Cho In-sŏng']",https://en.wikipedia.org/wiki/Jo_In-sung
47,Kim Jung Hyun,1971,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,,"['김정현', 'Gim Jeong-hyeon', 'Kim Chŏng-hyŏn']",https://en.wikipedia.org/wiki/Kim_Jung-hyun
48,Joo Won,1973,"Daegu, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Joo_Won_in_May_2017.jpg/220px-Joo_Won_in_May_2017.jpg,Ghost Studio,"['Moon Joo-won (1987-09-30) September 30, 1987 (age\xa035)Seoul, South Korea', 'Sungkyunkwan University - Film and TelevisionKonkuk University Graduate School of Mass Communication', 'Actor, singer', '2010–present', 'Ghost Studio', '주원', '周元', 'Ju-won', 'Chuwŏn', '문준원', '文晙原', 'Mun Jun-won', 'Mun Chunwŏn', 'www.joowon508.com']",https://en.wikipedia.org/wiki/Joo_Won
49,Jung Jae Young,1981,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Jung_Jae-young_at_Dec_2018.png/220px-Jung_Jae-young_at_Dec_2018.png,outerkorea,"['Jeong Ji-hyeon (1970-11-21) November 21, 1970 (age\xa052)Seoul, South Korea', 'Seoul Institute of the Arts – Theater[1]', 'Actor', '1996–present', 'outerkorea', '정재영', '鄭在詠', 'Jeong Jae-yeong', 'Chŏng Chae-yŏng', '정지현', 'Jeong Ji-hyeon', 'Chŏng Chi-hyŏn']",https://en.wikipedia.org/wiki/Jung_Jae-young
50,Lee Young Ae,1978,"Seoul, South Korea",//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Lee_Young-ae_in_2017.jpg/220px-Lee_Young-ae_in_2017.jpg,Good People Entertainment(subsidiary of Creative Leaders Group Eight),"[' (1971-01-31) January 31, 1971 (age\xa051)Seoul, South Korea', 'Hanyang University(B.A. German Language and Literature)Chung Ang University(M.A. Theater and Film)[1]', 'Actress, model', '1993–20052017–present', 'Good People Entertainment(subsidiary of Creative Leaders Group Eight)', '165\xa0cm (5\xa0ft 5\xa0in)[2]', 'Jeong Ho-yeong \u200b(m.\xa02009)\u200b', '2', '이영애', '李英愛', 'I Yeong-ae', 'Yi Yŏng-ae']",https://en.wikipedia.org/wiki/Lee_Young-ae
51,Kim Yeong Cheol,1984,"Jecheon, North Chungcheong Province, South Korea",//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,,"['김영철', 'Gim Yeong-cheol', ""Kim Yŏng-ch'ŏl""]",https://en.wikipedia.org/wiki/Kim_Yeong-cheol
